"id_video","titulo","vistas","likes","comentarios"
"o03cOYRJTp4","[GOING SEVENTEEN 2020] EP.30 8월의 크리스마스 #2 (Christmas in August #2)",7111385,303558,9457
"DtFEm46-XdE","[GOING SEVENTEEN 2020] EP.29 8월의 크리스마스 #1 (Christmas in August #1)",10942882,362174,9969
"8A9UBdMBEgI","[GOING SEVENTEEN 2020] EP.28 술래잡기 #2 (The Tag #2)",11861427,522579,25481
"zKa-EGTpkRI","[GOING SEVENTEEN 2020] EP.27 술래잡기 #1 (The Tag #1)",22051524,768293,25459
"2kdXw2iv_fA","[GOING SEVENTEEN 2020] EP.26 디에잇과 12인의 그림자 #2 (THE 8 and the 12 Shadows #2)",8460614,380987,9040
"ub96Mzr7BBQ","[GOING SEVENTEEN 2020] EP.25 디에잇과 12인의 그림자 #1 (THE 8 and the 12 Shadows #1)",14438920,567346,15010
"bVpPO8giupY","[GOING SEVENTEEN 2020] EP.24 드립 : 세븐틴 갓 탤런트 #2 (Ad-lib : Seventeen's got Talent #2)",8580845,376998,9694
"vVAPe9DZxB4","[GOING SEVENTEEN 2020] EP.23 드립 : 세븐틴 갓 탤런트 #1 (Ad-lib : Seventeen's got Talent #1)",13054951,457963,13545
"zNUNmzCSYPs","[GOING SEVENTEEN 2020] EP.22 네발라이더 #2 (Four Wheeled Rider #2)",5755026,251325,8258
"xIVAGmpuq78","[GOING SEVENTEEN 2020] EP.21 네발라이더 #1 (Four Wheeled Rider #1)",8612069,315070,7197
"k2jflXborAY","[GOING SEVENTEEN 2020] EP.20 그림의 떡 (Pie in the Sky)",7934288,245403,6194
"BrjWFINAfCA","[GOING SEVENTEEN 2020] EP.19 논리나잇 Ⅱ #2 (Debate Night Ⅱ #2)",3747613,149704,5158
"PwsatXwPonc","[GOING SEVENTEEN 2020] EP.18 논리나잇 Ⅱ #1 (Debate Night Ⅱ #1)",6753301,222087,7922
"VGQH5UtfOaE","[GOING SEVENTEEN 2020] EP.17 인간 체스 #2 (Human Chess #2)",4506245,196362,6728
"y1hjOwfU3kM","[GOING SEVENTEEN 2020] EP.16 인간 체스 #1 (Human Chess #1)",6346397,235415,6084
"_VY-lZAQbfg","[GOING SEVENTEEN 2020] EP.15 딜리버리 푸드 파이터 下 (Delivery Food Fighter #2)",3387910,126202,4674
"nKkOJQFiOhA","[GOING SEVENTEEN 2020] EP.14 딜리버리 푸드 파이터 上 (Delivery Food Fighter #1)",4930093,175904,7010
"ZB4ABOJfpy8","[GOING SEVENTEEN 2020] EP.13 SVT ESCAPE ROOM #2",3536978,159872,4236
"jS7RmsQ-QrU","[GOING SEVENTEEN 2020] EP.12 SVT ESCAPE ROOM #1",6192660,213755,4688
"ZbfHpnri1Ko","[GOING SEVENTEEN 2020] EP.11 S.B.S #2 (SEVENTEEN BRAIN SURVIVAL #2)",2906628,126535,3818
"o0aQTWjqGIk","[GOING SEVENTEEN 2020] EP.10 S.B.S #1 (SEVENTEEN BRAIN SURVIVAL #1)",5609474,186764,5714
"mk3c9y05zLY","[GOING SEVENTEEN 2020] EP.9 불면제로 #2 (Insomnia-Zero #2)",8324110,257416,7648
"89o7Ef7Qaq0","[GOING SEVENTEEN 2020] EP.8 불면제로 #1 (Insomnia-Zero #1)",12819388,317537,6176
"YDAqymQH_QQ","[GOING SEVENTEEN 2020] EP.7 부승관의 전생연분 #3 (SeungKwan Boo's Past Life Destiny #3)",5086878,200719,4962
"ond2gUmnvJQ","[GOING SEVENTEEN 2020] EP.6 부승관의 전생연분 #2 (SeungKwan Boo's Past Life Destiny #2)",5565171,199131,6667
"ickim9Cf_lY","[GOING SEVENTEEN 2020] EP.5 부승관의 전생연분 #1 (SeungKwan Boo's Past Life Destiny #1)",7134087,257751,7630
"YUcplsLTwXk","[GOING SEVENTEEN 2020] EP.4 돈't Lie #2 (Don't Lie #2)",7312982,286646,10068
"OqTI0KYkeJQ","[GOING SEVENTEEN 2020] EP.3 돈't Lie #1 (Don't Lie #1)",9968014,305121,7069
"V5Ms5o3k26k","[GOING SEVENTEEN 2020] EP.2 2020 : MYSTERY MYSTERY #2",5156538,193316,3795
"PXf59S2kFag","[GOING SEVENTEEN 2020] EP.1 2020 : MYSTERY MYSTERY #1",8165060,278596,6672
"Jo-T56qzZR8","[GOING SEVENTEEN] EP.140 부승관과 구기 종목 #1 (BOO SEUNGKWAN and Ball Sports #1)",663264,50375,2089
"EJI2bLi8vlI","[GOING SEVENTEEN] EP.139 GOOD OFFER 2 #2",567154,39021,1301
"GuS4O-zz09s","[GOING SEVENTEEN] EP.138 GOOD OFFER 2 #1",1026079,56015,1405
"qgCxPNFF3rY","[GOING SEVENTEEN] EP.137 세븐틴, 무리 지어 쉬다 #2 (SEVENTEEN, How The Pack Rests #2)",1088692,66139,1818
"5U3_1azWJcc","[GOING SEVENTEEN] EP.136 세븐틴, 무리 지어 쉬다 #1 (SEVENTEEN, How The Pack Rests #1)",1651530,98302,2868
"qCq1xbf-8ls","[GOING SEVENTEEN] EP.135 더 게장 #2 (The Gejang #2)",997393,68736,1515
"_iQ4DBMXHpk","[GOING SEVENTEEN] EP.134 더 게장 #1 (The Gejang #1)",1698342,97159,2639
"aaeycpZr9TM","[GOING SEVENTEEN] EP.133 이 콘텐츠는 전부 사실이 아닙니다 : 너의 인연은 #2 (None Of This Is True: Our Connection #2)",1027654,67939,2491
"3KcsMPS7Iv4","[GOING SEVENTEEN] EP.132 이 콘텐츠는 전부 사실이 아닙니다 : 너의 인연은 #1 (None Of This Is True: Our Connection #1)",2100719,120371,4624
"Z4guem5XzCw","[GOING SEVENTEEN] EP.131 물배틀그라운드 #2 (WATER BATTLEGROUNDS #2)",1226259,84780,2905
"fnLUyKhLwrg","[GOING SEVENTEEN] EP.130 물배틀그라운드 #1 (WATER BATTLEGROUNDS #1)",2136344,122853,4312
"cli_QQe2USg","[GOING SEVENTEEN] EP.129 MC 부격돌 : 위험한 초대 #2 (MC BOO’s Dangerous Invitation #2)",3324262,198393,4380
"27FE8Brbfzs","[GOING SEVENTEEN] EP.128 MC 부격돌 : 위험한 초대 #1 (MC BOO’s Dangerous Invitation #1)",4679758,267817,6476
"PLUfUXEkPm4","[GOING SEVENTEEN] EP.127 두더지의 반란 #2 (The Rebellion of the Moles #2)",1499516,100413,2045
"JqO-ijFi3dw","[GOING SEVENTEEN] EP.126 두더지의 반란 #1 (The Rebellion of the Moles #1)",2387971,139622,3155
"SLXeeM5CsZ4","[GOING SEVENTEEN] EP.125 세븐틴을 찾아라 #2 (Where’s SEVENTEEN? #2)",2646192,177187,3611
"SHMw-u9xdxc","[GOING SEVENTEEN] EP.124 세븐틴을 찾아라 #1 (Where’s SEVENTEEN? #1)",3570928,225111,5387
"9Lafr1VoeHs","[GOING SEVENTEEN] 2025 Opening Title Sequence",761944,70171,1670
"ln1sUIOChqk","[GOING SEVENTEEN] COMEBACK SPECIAL : SEVENTEEN TV BEHIND",1781052,115303,2869
"Kul1OglaF58","[GOING SEVENTEEN] COMEBACK SPECIAL : SEVENTEEN TV #2",2581297,157966,4363
"55vXlK_iOr0","[GOING SEVENTEEN] COMEBACK SPECIAL : SEVENTEEN TV #1",3858807,237303,12270
"3Jj-tVEif3k","[GOING SEVENTEEN] COMEBACK SPECIAL 'SEVENTEEN TV' TEASER",1005109,84512,3288
"8h1GzmMN7K0","[GOING SEVENTEEN] EP.123 세봉 초등학교 #2 (SEVONG Elementary School #2)",4598109,181726,4613
"XKJuYk4XBOQ","[GOING SEVENTEEN] EP.122 세봉 초등학교 #1 (SEVONG Elementary School #1)",5460953,210404,4503
"EjR9lAGEQaM","[GOING SEVENTEEN] EP.121 GOING Millionaire #2",1844704,106256,2015
"gT70I_iBjys","[GOING SEVENTEEN] EP.120 GOING Millionaire #1",2650512,137239,2748
"650K75tw3cQ","[GOING SEVENTEEN] EP.119 고잉 제작기 (GOING PRODUCTION)",3569079,153767,3788
"xn0HzluujXk","[GOING SEVENTEEN] EP.118 고잉 제작기 : 좀비와의 인터뷰 (GOING PRODUCTION : Interview With The Zombie)",2168061,142839,3672
"UnrcM3N_mGI","[GOING SEVENTEEN] EP.118 고잉 제작기 : 웃지 마 (GOING PRODUCTION : Don't Laugh)",2403296,149701,1788
"xOtXdk1r_B4","[GOING SEVENTEEN] EP.117 We Have to Cross Over in a Day? Are You Being Serious Right Now?! #2",3312957,176873,4409
"gUtvE6Wu7sc","[GOING SEVENTEEN] EP.116 We Have to Cross Over in a Day? Are You Being Serious Right Now?! #1",4979950,212109,3881
"jz7yp8zL7ok","[GOING SEVENTEEN] COMEBACK SPECIAL : 최승철, 부승관의 기분 좋은 아침 #2 (CHOI & BOO's Very Good Morning #2)",1795132,100246,3333
"jBqd-awcBtc","[GOING SEVENTEEN] COMEBACK SPECIAL : 최승철, 부승관의 기분 좋은 아침 #1 (CHOI & BOO's Very Good Morning #1)",2881975,145727,4164
"kUYv0OR4NVo","[GOING SEVENTEEN] COMEBACK SPECIAL '최승철, 부승관의 기분 좋은 아침' TEASER",862896,61048,1317
"ADs-cRoL9JU","[GOING SEVENTEEN] EP.115 BOSS #2",2513781,114757,4346
"uc16R4cze5U","[GOING SEVENTEEN] EP.114 BOSS #1",4078232,167974,5796
"K6PUQtpgCcY","[GOING SEVENTEEN] EP.113 함정 #2 (TRAP #2)",3392318,189926,6698
"OqOuV3QE87c","[GOING SEVENTEEN] EP.112 함정 #1 (TRAP #1)",6108694,288677,12739
"BZwBKHCCvB4","[GOING SEVENTEEN] HORROR SPECIAL PREVIEW",1427545,90542,3072
"B9l2TyhFKIY","[GOING SEVENTEEN] EP.111 그르륵 칵칵 TTT #3 (Grrreuk kak kak TTT #3)",5870234,235900,4238
"VHepAfBAHBA","[GOING SEVENTEEN] EP.110 그르륵 칵칵 TTT #2 (Grrreuk kak kak TTT #2)",7246654,265199,6133
"Ffz8WsfQNu4","[GOING SEVENTEEN] EP.109 그르륵 칵칵 TTT #1 (Grrreuk kak kak TTT #1)",8846507,321053,8808
"uEgjPvWskJc","[GOING SEVENTEEN] EP.108 반장 선거 #2 (Class President Election #2)",3710749,181409,6651
"TULYcfiPuo0","[GOING SEVENTEEN] EP.107 반장 선거 #1 (Class President Election #1)",5242575,208964,4608
"uzcU9Oko4PM","[GOING SEVENTEEN] EP.106 불면제로 Ⅲ #2 (Insomnia-Zero Ⅲ #2)",4361205,200751,5478
"aJFnJxMmvZU","[GOING SEVENTEEN] EP.105 불면제로 Ⅲ #1 (Insomnia-Zero Ⅲ #1)",6495052,239446,5322
"WUIzgOiyhPA","[GOING SEVENTEEN] EP.104 LIAR LIAR #2",2432991,137449,3847
"WAfrm5538_k","[GOING SEVENTEEN] EP.103 LIAR LIAR #1",4978148,197521,5642
"msoKaR1RWas","[GOING SEVENTEEN] EP.102 13인의 성난 사람들 #2 (13 Angry Men #2)",1637872,100698,2754
"zVVnpkgXuLQ","[GOING SEVENTEEN] EP.101 13인의 성난 사람들 #1 (13 Angry Men #1)",3250314,172784,5277
"nFQanahQ3YE","[GOING SEVENTEEN] EP.100 고잉 레인저 #2 (Going Rangers #2)",4061439,234611,5779
"tT8_ENoEHco","[GOING SEVENTEEN] EP.99 고잉 레인저 #1 (Going Rangers #1)",7231575,326885,9233
"ndZPQv87H8Y","[GOING SEVENTEEN] 2024 Opening Title Sequence",1300685,140621,4324
"9rZgP8jebBQ","[GOING SEVENTEEN] COMEBACK SPECIAL : 음악의 신들의 학교에 마에스트로의 등장이라.. #2 (The Musical Heirs #2)",2848098,196969,6983
"qppmHwt4nC8","[GOING SEVENTEEN] COMEBACK SPECIAL : 음악의 신들의 학교에 마에스트로의 등장이라.. #1 (The Musical Heirs #1)",4490864,278431,11402
"AcYhhRICwe4","[GOING SEVENTEEN] COMEBACK SPECIAL ‘음학마등’ TEASER",1137315,102911,4040
"2WbyphrkLok","[GOING SEVENTEEN SPECIAL] 기타 등등 : 갑진년 잘 부탁드립니다 (ETC : Cheers to a New Year)",1472799,87883,1125
"CRUln4WMzW8","[GOING SEVENTEEN SPECIAL] 기타 등등 : 명탐정 버논 (ETC : Detective VERNON)",1632819,97210,1346
"IUfv9zIzqZ0","[GOING SEVENTEEN SPECIAL] 기타 등등 : 나가 (ETC : Get Out)",2341954,124150,1310
"KCVWxPgdFhc","[GOING SEVENTEEN SPECIAL] 기타 등등 : 미식한 고독가 (ETC : The Gourmet Solitude)",1632227,96433,1248
"9ub25Af3Qpw","[GOING SEVENTEEN SPECIAL] 기타 등등 : 딜리버리 푸드 파이터 (ETC : Delivery Food Fighter)",1822019,106439,1658
"6V26abMiJp8","[GOING SEVENTEEN SPECIAL] 기타 등등 : 피철인으로 개명하는 건에 대하여 (ETC : DINO Name Change to Fe Turin?)",1665228,110164,1607
"12OweIPwVp4","[GOING SEVENTEEN SPECIAL] 기타 등등 : 멍 (DINO Ver.) (ETC : Zone Out)",382688,24288,602
"Xr5ZB8ajZdQ","[GOING SEVENTEEN SPECIAL] 기타 등등 : 멍 (VERNON Ver.) (ETC : Zone Out)",202996,18918,494
"CBVLbVHJhEY","[GOING SEVENTEEN SPECIAL] 기타 등등 : 멍 (SEUNGKWAN Ver.) (ETC : Zone Out)",301939,26984,804
"iRVD62wyvMs","[GOING SEVENTEEN SPECIAL] 기타 등등 : 멍 (DK Ver.) (ETC : Zone Out)",245371,23536,559
"qlCkIYzV0nU","[GOING SEVENTEEN SPECIAL] 기타 등등 : 멍 (MINGYU Ver.) (ETC : Zone Out)",312058,27651,569
"1aj1FpyLWIo","[GOING SEVENTEEN SPECIAL] 기타 등등 : 멍 (THE 8 Ver.) (ETC : Zone Out)",209659,20735,447
"OrzgL3yF1WI","[GOING SEVENTEEN SPECIAL] 기타 등등 : 멍 (WOOZI Ver.) (ETC : Zone Out)",240098,23625,597
"fmzWWGsemTA","[GOING SEVENTEEN SPECIAL] 기타 등등 : 멍 (WONWOO Ver.) (ETC : Zone Out)",321743,31694,984
"gMdKW8vc4cM","[GOING SEVENTEEN SPECIAL] 기타 등등 : 멍 (HOSHI Ver.) (ETC : Zone Out)",257003,24358,630
"hLqXQPlOI08","[GOING SEVENTEEN SPECIAL] 기타 등등 : 멍 (JUN Ver.) (ETC : Zone Out)",224994,21441,487
"eea8K4y4-CI","[GOING SEVENTEEN SPECIAL] 기타 등등 : 멍 (JOSHUA Ver.) (ETC : Zone Out)",464458,35325,840
"jTOQPnL9q4s","[GOING SEVENTEEN SPECIAL] 기타 등등 : 멍 (ETC : Zone Out)",1974285,137627,2140
"CK-7GCkvDxw","[GOING SEVENTEEN SPECIAL] 기타 등등 : 근데 (ETC : But)",1760485,111047,951
"8wKqa9AHiWs","[GOING SEVENTEEN SPECIAL] 기타 등등 : 네가 이걸 하는걸 보고 싶어 (ETC : I Want To See You Do This)",2755076,164499,3317
"vEmrzaSkal0","[GOING SEVENTEEN SPECIAL] 기타 등등 : 용용 죽겠지 (ETC : Tease Your Heart Out)",2377513,159798,3512
"fmUd-nzPgMk","[GOING SEVENTEEN SPECIAL] 기타 등등 : 바니바니 바니바니 근황근황 (ETC : Bunny Bunny Update Update)",2806963,183522,5691
"rTXyOzUwZ9s","[GOING SEVENTEEN] EP.98 2023 고잉 세븐틴 최고의 콘텐츠 #2 (2023 Best of GOING SEVENTEEN #2)",4606732,196943,4104
"GvRB4mXvEZM","[GOING SEVENTEEN] EP.97 2023 고잉 세븐틴 최고의 콘텐츠 #1 (2023 Best of GOING SEVENTEEN #1)",5385348,206540,2740
"nzI2Y9Qe6LU","[GOING SEVENTEEN] EP.96 구원(舊怨) #2 (Grudge #2)",3373581,178888,5331
"I6LPhlAGZGM","[GOING SEVENTEEN] EP.95 구원(舊怨) #1 (Grudge #1)",6048247,276998,6156
"VJnLi4MksCk","[GOING SEVENTEEN] COMEBACK SPECIAL : 경음악의 신 #2 (God of Light Music #2)",6948681,314976,9034
"QsfSOZLe-S8","[GOING SEVENTEEN] COMEBACK SPECIAL : 경음악의 신 #1 (God of Light Music #1)",6348608,298098,8326
"P75u0kKUyXc","[GOING SEVENTEEN] COMEBACK SPECIAL TEASER",1476731,100117,2900
"RoXZMS_l8SE","[GOING SEVENTEEN] EP.94 가위바위보 #2 (Rock Scissors Paper #2)",2885370,142891,7585
"qnvNqkb7UTk","[GOING SEVENTEEN] EP.93 가위바위보 #1 (Rock Scissors Paper #1)",4786084,209526,4764
"rnFPIn1aEO0","[GOING SEVENTEEN] EP.92 전참시 벌 #2 (Point of Omniscient Interfere Penalty #2)",4059877,199096,3096
"q3rfMpxOl08","[GOING SEVENTEEN] EP.91 전참시 벌 #1 (Point of Omniscient Interfere Penalty #1)",6360132,264155,5727
"4KnATyvKERI","[GOING SEVENTEEN] EP.90 몰래 간 손님 #2 (The Guest Who Left Secretly #2)",5853222,263018,3834
"7GuJctDpoAc","[GOING SEVENTEEN] EP.89 몰래 간 손님 #1 (The Guest Who Left Secretly #1)",9545363,343442,9005
"Ri_ZrMpnTe4","[GOING SEVENTEEN] EP.88 부밀리가 떴다 #4 (BOOmily Outing #4)",7194783,277357,4866
"CZLIeVxWG3c","[GOING SEVENTEEN] EP.87 부밀리가 떴다 #3 (BOOmily Outing #3)",8327740,300341,6308
"A7TYMNqF-tY","[GOING SEVENTEEN] EP.86 부밀리가 떴다 #2 (BOOmily Outing #2)",8218721,266800,4622
"I2YKtm1cYqc","[GOING SEVENTEEN] EP.85 부밀리가 떴다 #1 (BOOmily Outing #1)",7689500,307270,4987
"mqkFmcU8cOQ","[GOING SEVENTEEN] EP.84 셉셉투어 : 먹어? 안 먹어? (TOUR SEV SEV : To eat or not to eat)",3924939,195099,3273
"FgJ5AT7mhw8","[GOING SEVENTEEN] EP.83 셉셉투어 : 감성 숏폼 여행 (TOUR SEV SEV : Sentimental Short-form Tour)",3328944,197436,3634
"cawv7OuaDY8","[GOING SEVENTEEN] EP.82 셉셉투어 : 팔랑귀 여행 (TOUR SEV SEV : Gullibles’ Travels)",4480324,217519,4347
"xgDMfMt7kDs","[GOING SEVENTEEN] EP.81 셉셉투어 #1 (TOUR SEV SEV #1)",5391272,220975,4473
"4Uq-0iwL-PQ","[GOING SEVENTEEN] EP.80 GOING Vol.2 #2",2947545,182436,4225
"4g6AC6mXShE","[GOING SEVENTEEN] EP.79 GOING Vol.2 #1",4842619,253391,6975
"XHgJCzhh2QY","[GOING SEVENTEEN] EP.78 화이트에서 할 수 있는 모든 것 #2 (Everything Possible in the White Zone #2)",6760369,260451,3918
"8JOCd84Pnas","[GOING SEVENTEEN] EP.77 화이트에서 할 수 있는 모든 것 #1 (Everything Possible in the White Zone #1)",7466253,274443,5036
"4_eOMTwQUzo","[GOING SEVENTEEN] EP.76 전원 회식 (A Company Dinner for EveryWON)",7715802,306679,4885
"h2tvKytryQU","[GOING SEVENTEEN] EP.75 권순영 찾기 #2 (Finding KSY #2)",3799904,216904,3975
"lOxcP9gILko","[GOING SEVENTEEN] EP.74 권순영 찾기 #1 (Finding KSY #1)",5361230,254400,3745
"bhI6qGHSaig","[GOING SEVENTEEN] EP.73 법정 : 모든 걸 꿰뚫어 보는 눈 #2 (Court : Eyes That See The Truth #2)",4963027,215595,4413
"bA7XCoBsIDs","[GOING SEVENTEEN] EP.72 법정 : 모든 걸 꿰뚫어 보는 눈 #1 (Court : Eyes That See The Truth #1)",8720569,307263,5547
"aNJwPoN2S9Y","[GOING SEVENTEEN] EP.71 돈't Lie : The CHASER #2 (Don’t Lie : The CHASER #2)",5705461,284442,8590
"q0bYVoLJ5UA","[GOING SEVENTEEN] EP.70 돈't Lie : The CHASER #1 (Don’t Lie : The CHASER #1)",7472868,282448,6329
"in87oOJGvAE","[GOING SEVENTEEN] EP.69 돈’t Lie : CLUE #2 (Don’t Lie : CLUE #2)",5261344,252447,4586
"BeDkwcm-nJ4","[GOING SEVENTEEN] EP.68 돈’t Lie : CLUE #1 (Don’t Lie : CLUE #1)",7506969,294262,6984
"_Zf2-wIem7M","[GOING SEVENTEEN] EP.67 기습 돈't Lie #2 (Surprise Don’t Lie #2)",5505034,265400,5234
"SK282KBKadk","[GOING SEVENTEEN] EP.66 기습 돈't Lie #1 (Surprise Don't Lie #1)",8491662,326750,7216
"jKVax0uTRVc","[GOING SEVENTEEN] EP.65 고잉 컴퍼니 야유회 (GOING COMPANY Outing)",6949602,290148,7555
"L3RxYnSdZdo","[GOING SEVENTEEN] 2023 Opening Title Sequence",1253368,132281,3605
"DP1S_W2tPpE","[GOING SEVENTEEN SPECIAL] 겨울방학 특집 : 안다와 몰라 #2 (I Know & Don't Know #2)",6155603,277217,4793
"78LM7AyE6-g","[GOING SEVENTEEN SPECIAL] 겨울방학 특집 : 안다와 몰라 #1 (I Know & Don't Know #1)",9944180,398042,9463
"UO2KBxvkodo","[GOING SEVENTEEN] EP.64 BAD CLUE Ⅱ #3",2842679,158180,4546
"BGhgLrBNywE","[GOING SEVENTEEN] EP.63 BAD CLUE Ⅱ #2",3118804,144874,3660
"6RlQTnYpb0M","[GOING SEVENTEEN] EP.62 BAD CLUE Ⅱ #1",5499150,217568,3953
"_naGeCxCBuo","[GOING SEVENTEEN] EP.61 토크 회식 #2 (Talk Get-Together #2)",3605546,177981,3806
