"id_video","titulo","vistas","likes","comentarios"
"Sd9HkHMC7Wo","[GOING SEVENTEEN] EP.60 토크 회식 #1 (Talk Get-Together #1)",5981562,246398,3714
"ZBqA7LcWR6c","[GOING SEVENTEEN] EP.59 GOOD OFFER #2",2966285,172054,5677
"aOmz9GV_Uxk","[GOING SEVENTEEN] EP.58 GOOD OFFER #1",5469632,233866,7730
"UIlZKtRyog0","[GOING SEVENTEEN] EP.57 8월의 크리스마스 Ⅱ #2 (Christmas in August Ⅱ #2)",3405387,181434,3225
"Ujkg9TO1-TQ","[GOING SEVENTEEN] EP.56 8월의 크리스마스 Ⅱ #1 (Christmas in August Ⅱ #1)",5953301,250279,4213
"RmLSy-4xx54","[GOING SEVENTEEN] EP.55 전원우일기 #2 (WONWOO's Diary #2)",5485152,264514,6750
"8A2S9VqGqlU","[GOING SEVENTEEN] EP.54 전원우일기 #1 (WONWOO's Diary #1)",7747057,358644,8613
"Gg1Iz-Ok-4g","[GOING SEVENTEEN] EP.53 HIDE N SEEK",11100537,369913,9255
"YZE_s1lFdhY","[GOING SEVENTEEN] EP.52 너 자신을 알라 #2 (Know Thyself #2)",4830470,227049,3905
"YHcNShpF4Uo","[GOING SEVENTEEN] EP.51 너 자신을 알라 #1 (Know Thyself #1)",8076864,288430,5931
"oux44JI4u6Y","[GOING SEVENTEEN] EP.50 세븐틴 고잉 라디오 쇼 #2 (SEVENTEEN GOING Radio Show #2)",3136755,161725,3576
"H8a6eDn9AKM","[GOING SEVENTEEN] EP.49 세븐틴 고잉 라디오 쇼 #1 (SEVENTEEN GOING Radio Show #1)",4479867,208569,3546
"W1PJatlxhWc","[GOING SEVENTEEN SPECIAL] 고잉셉특급 : 당신의 심장을 뛰게 할 콘텐츠를 찾아라 (GOING SVT X MMTG)",5894378,263067,5668
"qk5Q9Hng5Fg","[GOING SEVENTEEN] EP.48 준우승 운동회 #2 (Runner-Up Sports Day #2)",4454460,248707,5473
"4yXR2ATAXbg","[GOING SEVENTEEN] EP.47 준우승 운동회 #1 (Runner-Up Sports Day #1)",7363141,304538,5212
"Ivc2CO5x1_U","[GOING SEVENTEEN] EP.46 GSVT E-Triathlon Championship 2022 #3",3361970,159224,2333
"Abk_5NhccwE","[GOING SEVENTEEN] EP.45 GSVT E-Triathlon Championship 2022 #2",4985679,195137,4198
"wKjpYOR8_F0","[GOING SEVENTEEN] EP.44 GSVT E-Triathlon Championship 2022 #1",7420012,261606,4989
"waQ47pqNZzY","[GOING SEVENTEEN] EP.43 세븐틴사이드 아웃 Ⅱ #2 (SVTSIDE OUT Ⅱ #2)",4243799,201930,4131
"_O0UWg3rzx4","[GOING SEVENTEEN] EP.42 세븐틴사이드 아웃 Ⅱ #1 (SVTSIDE OUT Ⅱ #1)",6607927,276032,5166
"Ny-cUQKUXAo","[GOING SEVENTEEN] EP.41 나 혼자 사는 세븐틴 씨의 트루먼 쇼 #2 (The Truman Show of Mr. SVT’s We Live Alone #2)",4608648,226580,4409
"JrXtc1-O3tQ","[GOING SEVENTEEN] EP.40 나 혼자 사는 세븐틴 씨의 트루먼 쇼 #1 (The Truman Show of Mr. SVT’s We Live Alone #1)",5789097,268529,2938
"mWcsZtCZX_A","[GOING SEVENTEEN] EP.39 무모한 고잉 #2 (Infinite GOING #2)",3423617,207439,2616
"WfLcHtvVXik","[GOING SEVENTEEN] EP.38 무모한 고잉 #1 (Infinite GOING #1)",6051357,279203,4481
"BvJJrCND5w4","[GOING SEVENTEEN] EP.37 쌀밥을 맛있게 먹는 완벽한 방법 #2 (How to Eat Rice the Perfect Way #2)",4851549,274843,7759
"JGc4foXl6BA","[GOING SEVENTEEN] EP.36 쌀밥을 맛있게 먹는 완벽한 방법 #1 (How to Eat Rice the Perfect Way #1)",6146208,307328,7023
"PE49Z-3G8Oo","[GOING SEVENTEEN] 2022 Opening Title Sequence",1491343,182852,7142
"MG_Lm-USPgQ","[GOING SEVENTEEN SPECIAL] 고잉 코멘터리 (GOING COMMENTARY)",9845604,358383,7983
"n73_2yj5oRo","[GOING SEVENTEEN] EP.35 둘이서 셉식당 #3 (SVT’s Kitchen for Two #3)",6670864,259227,5487
"E8SP-CaFiyc","[GOING SEVENTEEN] EP.34 둘이서 셉식당 #2 (SVT’s Kitchen for Two #2)",6526575,258089,4105
"Q7UPTAdSPYs","[GOING SEVENTEEN] EP.33 둘이서 셉식당 #1 (SVT’s Kitchen for Two #1)",8310445,303313,3532
"lPxbmawGISs","[GOING SEVENTEEN] EP.32 순응특집 단짝 #2 (Best Friends #2)",19569210,579342,12425
"T5etCb0-pO0","[GOING SEVENTEEN] EP.31 순응특집 단짝 #1 (Best Friends #1)",16401863,506497,10935
"_7KUIRQUAIQ","[GOING SEVENTEEN] EP.30 불면제로 Ⅱ #2 (Insomnia-Zero Ⅱ #2)",5627264,247462,5021
"q2j_1Mo5JSo","[GOING SEVENTEEN] EP.29 불면제로 Ⅱ #1 (Insomnia-Zero Ⅱ #1)",11160522,366562,6745
"lxZThmDvOSs","[GOING SEVENTEEN] EP.28 EGO #2",5677248,368913,24393
"4Boe42AdL34","[GOING SEVENTEEN] EP.27 EGO #1",8746331,418338,16964
"D2TbvAJNSE4","[GOING SEVENTEEN] EP.26 캐치 스탁 : 가즈아 잡즈아 #2 (CATCH STOCK #2)",4560052,227301,13017
"qspwa5Tn4IA","[GOING SEVENTEEN] EP.25 캐치 스탁 : 가즈아 잡즈아 #1 (CATCH STOCK #1)",6141762,260786,5877
"PN7rJrGo9a0","[GOING SEVENTEEN] EP.24 부족오락관 #2 (Tribal Games #2)",14804406,531102,8974
"ncgd8GfklT0","[GOING SEVENTEEN] EP.23 부족오락관 #1 (Tribal Games #1)",10822870,384211,5811
"WXFaGkkeMxA","[GOING SEVENTEEN] EP.22 논리나잇 Ⅲ #2 (Debate Night Ⅲ #2)",4496524,203549,5133
"Sq5cTPiyv8A","[GOING SEVENTEEN] EP.21 논리나잇 Ⅲ #1 (Debate Night Ⅲ #1)",8532985,289119,6602
"M_wTMA3sO2c","[GOING SEVENTEEN] EP.20 TTT에 빠지다 #3 (Dive into TTT #3) (Water Sports Ver.)",10871925,388729,8149
"ieuS9OWhI1g","[GOING SEVENTEEN] EP.19 TTT에 빠지다 #2 (Dive into TTT #2) (Water Sports Ver.)",11666510,413436,11471
"2lTN_tCtuq0","[GOING SEVENTEEN] EP.18 TTT에 빠지다 #1 (Dive into TTT #1) (Water Sports Ver.)",15565534,488518,10662
"u_6Pd3C4CMI","[GOING SEVENTEEN] EP.17 발마구마구 #2 (Kickball #2)",7221015,280616,9675
"c4eNr-9So5A","[GOING SEVENTEEN] EP.16 발마구마구 #1 (Kickball #1)",10389790,349489,8703
"6HEALKUTmfU","[GOING SEVENTEEN] EP.15 버논에서 모처럼 모내기를 하며 모든 내기를 해보았다 #2 (Planting Rice and Making Bets #2)",8147902,371438,12483
"AxQDyhBYMtM","[GOING SEVENTEEN] EP.14 버논에서 모처럼 모내기를 하며 모든 내기를 해보았다 #1 (Planting Rice and Making Bets #1)",12720210,435560,9159
"ahtZRFcH2Yg","[GOING SEVENTEEN] EP.13 룰렛인생 #2 (Roulette Life #2)",5759674,287725,6643
"MZxauxuCPss","[GOING SEVENTEEN] EP.12 룰렛인생 #1 (Roulette Life #1)",7289041,300473,5830
"EeAm_aL8toQ","[GOING SEVENTEEN] EP.11 광고천재 세븐틴 (Ad Genius SEVENTEEN)",6807590,316831,8544
"MqrdKz3Ulyk","[GOING SEVENTEEN] EP.10 돈't Lie Ⅲ #2 (Don't Lie Ⅲ #2)",8596195,381298,12327
"Qvu_JCYrwE0","[GOING SEVENTEEN] EP.9 돈't Lie Ⅲ #1 (Don't Lie Ⅲ #1)",12715985,428027,11436
"HXlJxJ4BYok","[GOING SEVENTEEN] EP.8 보물섬 : 13 Raiders #2 (Treasure Island : 13 Raiders #2)",3950498,238494,9659
"PE2qHXNS3YI","[GOING SEVENTEEN] EP.7 보물섬 : 13 Raiders #1 (Treasure Island : 13 Raiders #1)",6232416,330363,10734
"9-FIfaMReFE","[GOING SEVENTEEN] EP.6 출발 세븐틴 #2 (Let's Go! SEVENTEEN #2)",8749525,388710,10893
"d1Tjh0mJBZU","[GOING SEVENTEEN] EP.5 출발 세븐틴 #1 (Let's Go! SEVENTEEN #1)",12932576,476568,11867
"d3MOlnbzWBM","[GOING SEVENTEEN] EP.4 100만 원 #2 (ONE MILLION WON #2)",4337915,249753,8597
"gziEl4Q4CcY","[GOING SEVENTEEN] EP.3 100만 원 #1 (ONE MILLION WON #1)",6579259,301917,10450
"mT8spyE3OdY","[GOING SEVENTEEN] EP.2 드립 : 고잉 컴퍼니 #2 (Ad-lib : GOING COMPANY #2)",5435100,278540,10146
"z1IdT5h5pCo","[GOING SEVENTEEN] EP.1 드립 : 고잉 컴퍼니 #1 (Ad-lib : GOING COMPANY #1)",10063973,459330,23423
"hhKrkdy0L7c","[GOING SEVENTEEN] 2021 Opening Title Sequence",2248574,232639,11530
